index,Placa,Poços,μMax,A,Fase lag,Growth Score
0,Placa_1,Poço-A(1-3),0.0590889625,8.2287697724,20.2158139939,8.2435420131
2,Placa_1,Poço-A(7-9),0.0561675994,7.4330246706,21.9810801302,7.4470665705
3,Placa_1,Poço-A(10-12),0.0520322738,8.7726735381,24.8397209262,8.7856816065
